area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-06-03,MELO,71,79,ingrossamento frutti || da ingrossamento frutti a frutto noce
Bologna e Ferrara,2026-06-03,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-06-03,OLIVO,60,69,fioritura
Bologna e Ferrara,2026-06-03,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-03,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-06-03,POMODORO_INDUSTRIA,0,73,pre-trapianto - allegagione terzo palco
Bologna e Ferrara,2026-06-03,SOIA,14,16,3-5 foglie trilobate
Bologna e Ferrara,2026-06-03,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-03,VITE,71,75,da allegagione a mignolatura || da allegagione a sviluppo degli acini
Bologna e Ferrara,2026-06-10,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-10,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-06-10,CILIEGIO,81,89,maturazione
Bologna e Ferrara,2026-06-10,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-10,MAIS,30,59,da levata a spigatura – emissione pennacchio
Bologna e Ferrara,2026-06-10,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-10,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-06-10,OLIVO,69,69,allegagione
Bologna e Ferrara,2026-06-10,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-10,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-06-10,POMODORO_INDUSTRIA,71,74,allegagione 1°- 4° palco
Bologna e Ferrara,2026-06-10,SOIA,14,16,3-5 foglie trilobate
Bologna e Ferrara,2026-06-10,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-06-10,VITE,73,77,da mignolatura a pre-chiusura grappolo
Bologna e Ferrara,2026-06-17,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-17,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-06-17,CILIEGIO,81,89,maturazione
Bologna e Ferrara,2026-06-17,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-17,MAIS,51,59,spigatura – emissione pennacchio
Bologna e Ferrara,2026-06-17,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-17,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-06-17,OLIVO,69,69,allegagione
Bologna e Ferrara,2026-06-17,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-17,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-06-17,POMODORO_INDUSTRIA,71,83,allegagione 1°- 4° palco inizio invaiatura 1° palco || allegagione 1°- 4° palco
Bologna e Ferrara,2026-06-17,SOIA,14,16,3-5 foglie trilobate
Bologna e Ferrara,2026-06-17,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-06-17,VITE,77,79,chiusura grappolo
Bologna e Ferrara,2026-06-24,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-24,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-06-24,CILIEGIO,81,93,post-raccolta || maturazione
Bologna e Ferrara,2026-06-24,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-24,MAIS,51,59,emissione pennacchio
Bologna e Ferrara,2026-06-24,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-06-24,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-06-24,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-24,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-24,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-06-24,POMODORO_INDUSTRIA,71,83,accrescimento - invaiatura 2° palco
Bologna e Ferrara,2026-06-24,SOIA,10,61,sviluppo vegetativo-inizio fioritura
Bologna e Ferrara,2026-06-24,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-06-24,VITE,77,79,chiusura grappolo
Bologna e Ferrara,2026-07-01,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-01,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-07-01,CILIEGIO,81,93,post-raccolta || maturazione
Bologna e Ferrara,2026-07-01,KAKI,71,79,accrescimento frutti
